date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new,count_ecmo
2020-04-07T00:00:00.000Z,73,765,659,160,204,385,106,8,3083,0.248134933506325,4155,7155,819,171,72,2,241,18,1
2020-04-08T00:00:00.000Z,58,717,620,166,196,335,115,8,3083,0.2325656827765164,3369,7380,859,178,80,1,258,22,1
2020-04-09T00:00:00.000Z,64,685,638,166,189,316,117,9,3083,0.2221861822899773,3232,7497,944,185,89,1,274,19,1
2020-04-10T00:00:00.000Z,55,693,609,170,173,334,128,8,3083,0.2247810574116121,3947,7689,1002,196,97,1,284,13,1
2020-04-11T00:00:00.000Z,40,649,605,182,163,287,130,6,3083,0.2105092442426208,3084,7849,1061,205,103,1,308,26,1
2020-04-12T00:00:00.000Z,90,694,632,177,175,323,130,6,3083,0.2251054168018164,4797,8096,1074,212,109,1,326,21,1
2020-04-13T00:00:00.000Z,91,721,638,192,169,340,137,9,3083,0.2338631203373338,4515,8131,1181,224,118,1,352,34,1
2020-04-14T00:00:00.000Z,70,709,647,178,173,339,134,8,3083,0.2299708076548816,4209,8172,1229,228,126,1,359,8,1
2020-04-15T00:00:00.000Z,69,719,675,179,175,343,133,13,3083,0.2332144015569251,3368,8147,1238,241,139,1,380,26,1
2020-04-16T00:00:00.000Z,51,726,648,182,163,363,137,7,3083,0.2354849172883555,5208,8007,1366,251,146,1,393,19,1
2020-04-17T00:00:00.000Z,48,697,624,165,163,345,124,9,3083,0.2260784949724295,4060,7980,1348,254,155,1,401,13,1
2020-04-18T00:00:00.000Z,41,670,624,174,141,329,118,11,3083,0.2173207914369121,3696,7694,1661,260,166,1,417,28,1
2020-04-19T00:00:00.000Z,40,658,584,157,148,325,118,8,3083,0.2134284787544599,5597,7573,1707,267,174,1,425,8,2
2020-04-20T00:00:00.000Z,49,632,553,154,135,318,123,6,3083,0.2049951346091469,4910,7430,1723,276,180,2,430,11,3
2020-04-21T00:00:00.000Z,27,580,519,145,146,262,119,10,3083,0.1881284463185209,4731,7345,1738,279,190,3,436,8,4
2020-04-22T00:00:00.000Z,36,552,498,149,122,259,110,3,3083,0.1790463833927992,4648,7197,1739,279,193,3,444,10,5
2020-04-23T00:00:00.000Z,32,529,456,146,106,248,115,4,3083,0.1715861174180993,5175,7313,1605,283,197,3,449,11,5
2020-04-24T00:00:00.000Z,26,483,449,144,109,216,110,3,3083,0.1566655854686993,4255,7083,1751,287,200,3,456,9,5
2020-04-25T00:00:00.000Z,8,456,433,136,105,201,107,3,3083,0.147907881933182,3527,6868,1762,288,203,3,459,7,5
2020-04-26T00:00:00.000Z,32,464,412,142,91,205,111,2,3083,0.1505027570548168,5560,6562,1737,292,205,3,466,10,4
2020-04-27T00:00:00.000Z,21,433,384,132,89,194,101,4,3083,0.140447615958482,5124,6206,1775,293,209,3,468,3,4
2020-04-28T00:00:00.000Z,28,411,369,127,85,183,100,5,3083,0.1333117093739864,4682,5861,1726,296,214,3,472,6,5
2020-04-29T00:00:00.000Z,22,391,371,122,86,175,96,6,3083,0.1268245215698995,4068,5584,1726,296,220,3,477,6,5
2020-04-30T00:00:00.000Z,19,390,345,112,87,179,90,6,3083,0.1265001621796951,5461,5326,1721,296,226,3,480,5,5
2020-05-01T00:00:00.000Z,20,365,327,109,81,156,89,4,3083,0.1183911774245864,4405,5008,1746,299,230,3,484,5,5
2020-05-02T00:00:00.000Z,14,341,331,111,67,160,90,3,3083,0.1106065520596821,3828,4915,1610,300,233,3,486,7,5
2020-05-03T00:00:00.000Z,14,344,302,101,71,155,84,3,3083,0.1115796302302952,5779,4700,1591,300,236,3,486,2,5
2020-05-04T00:00:00.000Z,18,320,279,97,71,141,78,3,3083,0.1037950048653909,5315,4562,1545,300,239,2,487,2,4
2020-05-05T00:00:00.000Z,9,288,258,91,61,120,72,2,3083,0.09341550437885177,5224,4353,1488,300,241,2,487,0,4
2020-05-06T00:00:00.000Z,15,273,249,88,61,119,70,1,3083,0.08855011352578657,5142,4214,1439,300,242,2,488,3,4
2020-05-07T00:00:00.000Z,13,263,245,84,60,112,70,1,3083,0.08530651962374311,5419,4068,1423,302,243,2,489,3,4
2020-05-08T00:00:00.000Z,13,257,241,78,53,113,64,6,3083,0.08336036328251703,4641,3935,1365,303,249,2,491,3,4
2020-05-09T00:00:00.000Z,10,251,245,78,50,120,64,3,3083,0.08141420694129095,3106,4018,1204,304,252,2,492,5,4
2020-05-10T00:00:00.000Z,14,258,229,74,51,121,66,4,3083,0.08368472267272138,6097,3893,1202,308,256,2,495,4,4
2020-05-11T00:00:00.000Z,9,237,214,69,54,107,60,5,3083,0.0768731754784301,5289,3608,1208,309,261,2,498,3,4
2020-05-12T00:00:00.000Z,10,225,205,66,52,102,56,3,3083,0.07298086279597794,5416,3533,1054,310,264,2,500,3,4
2020-05-13T00:00:00.000Z,10,213,203,61,48,95,53,3,3083,0.06908855011352578,5383,3480,968,312,267,2,502,2,4
2020-05-14T00:00:00.000Z,6,208,191,61,43,95,52,3,3083,0.06746675316250406,5779,3322,917,313,270,2,503,2,4
2020-05-15T00:00:00.000Z,1,192,187,61,43,86,52,0,3083,0.06227700291923451,5004,3281,814,313,270,2,503,0,4
2020-05-16T00:00:00.000Z,4,191,186,60,40,84,51,3,3083,0.06195264352903017,4369,3216,780,313,273,1,503,0,3
2020-05-17T00:00:00.000Z,10,195,175,55,38,94,45,4,3083,0.06325008108984755,6530,3111,756,314,277,1,505,3,2
2020-05-18T00:00:00.000Z,3,178,162,52,42,79,43,3,3083,0.05773597145637367,5996,2905,725,315,280,1,506,1,2
2020-05-19T00:00:00.000Z,7,169,161,51,43,73,40,2,3083,0.05481673694453455,6127,2895,603,315,282,1,508,3,2
2020-05-20T00:00:00.000Z,4,166,148,46,40,74,41,1,3083,0.05384365877392151,6059,2845,570,315,283,1,508,1,2
2020-05-21T00:00:00.000Z,8,155,142,47,31,74,37,0,3083,0.0502757054816737,6343,2803,514,315,283,1,508,2,2
2020-05-22T00:00:00.000Z,5,148,143,46,32,66,37,0,3083,0.04800518975024327,5198,2718,455,315,283,1,508,0,2
2020-05-23T00:00:00.000Z,3,145,144,46,33,65,37,0,3083,0.04703211157963023,4603,2733,400,315,283,1,508,0,2
2020-05-24T00:00:00.000Z,0,144,127,43,36,63,34,1,3083,0.04670775218942588,6907,2657,390,315,284,1,508,1,2
2020-05-25T00:00:00.000Z,8,135,125,41,32,60,29,2,3083,0.04378851767758676,6306,2592,345,315,286,1,509,2,2
2020-05-26T00:00:00.000Z,3,128,120,36,37,52,32,0,3083,0.04151800194615634,6265,2618,283,315,286,1,509,1,1
2020-05-27T00:00:00.000Z,6,126,118,40,37,47,36,2,3083,0.04086928316574765,6312,2605,276,316,288,2,510,5,1
2020-05-28T00:00:00.000Z,7,125,117,36,37,51,34,1,3083,0.0405449237755433,5390,2572,273,316,289,1,510,0,1
2020-05-29T00:00:00.000Z,5,122,122,39,36,46,37,0,3083,0.03957184560493026,4548,2673,241,317,289,1,511,4,1
2020-05-30T00:00:00.000Z,5,127,126,35,43,49,33,0,3083,0.041193642555952,4772,2657,241,317,289,1,511,0,1
2020-05-31T00:00:00.000Z,5,131,122,35,47,48,31,0,3083,0.04249108011676938,7132,2683,245,317,289,1,512,3,1
2020-06-01T00:00:00.000Z,12,135,113,32,45,52,29,3,3083,0.04378851767758676,6362,2742,224,317,292,1,512,1,1
2020-06-02T00:00:00.000Z,13,126,117,29,44,50,29,2,3083,0.04086928316574765,6370,2826,202,318,294,1,513,2,1
2020-06-03T00:00:00.000Z,8,124,119,28,42,52,25,1,3083,0.04022056438533896,6293,2869,225,318,295,1,513,1,1
2020-06-04T00:00:00.000Z,11,131,117,30,37,62,23,0,3083,0.04249108011676938,6701,2969,227,318,295,1,516,4,1
2020-06-05T00:00:00.000Z,8,124,113,29,41,53,23,1,3083,0.04022056438533896,5538,3061,228,318,296,1,516,0,1
2020-06-06T00:00:00.000Z,9,122,116,29,42,47,21,4,3083,0.03957184560493026,4954,3097,239,318,300,1,519,5,1
2020-06-07T00:00:00.000Z,12,128,122,29,42,55,23,2,3083,0.04151800194615634,7550,3179,247,319,302,1,523,5,1
2020-06-08T00:00:00.000Z,16,139,123,30,46,61,23,0,3083,0.04508595523840416,6393,3303,262,319,302,1,525,2,1
2020-06-09T00:00:00.000Z,10,134,120,31,42,60,24,1,3083,0.04346415828738242,6648,3436,259,321,303,1,528,3,1
2020-06-10T00:00:00.000Z,25,143,126,32,45,66,24,1,3083,0.04638339279922154,6816,3594,283,322,304,1,530,2,1
2020-06-11T00:00:00.000Z,13,139,128,35,38,65,24,0,3083,0.04508595523840416,6839,3691,321,322,304,1,534,6,1
2020-06-12T00:00:00.000Z,13,141,129,35,43,63,25,0,3083,0.04573467401881284,5678,3803,338,323,304,1,537,3,1
2020-06-13T00:00:00.000Z,11,139,135,35,45,58,26,1,3083,0.04508595523840416,5054,3883,359,324,305,1,537,2,1
2020-06-14T00:00:00.000Z,15,150,136,31,48,69,23,2,3083,0.04865390853065196,7569,3966,360,324,307,1,538,1,1
2020-06-15T00:00:00.000Z,23,160,138,36,47,76,25,0,3083,0.05189750243269543,6581,4042,393,327,307,1,545,7,1
2020-06-16T00:00:00.000Z,21,157,138,38,44,74,26,1,3083,0.05092442426208239,6824,4280,401,330,308,1,548,4,1
2020-06-17T00:00:00.000Z,23,162,153,36,49,77,29,0,3083,0.05254622121310412,6514,4460,428,333,308,1,550,3,1
2020-06-18T00:00:00.000Z,37,190,164,40,43,107,28,0,3083,0.06162828413882582,6784,4659,471,336,308,1,555,6,1
2020-06-19T00:00:00.000Z,29,197,186,39,47,108,29,1,3083,0.06389879987025625,5734,4870,491,337,309,1,559,6,1
2020-06-20T00:00:00.000Z,32,218,213,41,50,126,28,1,3083,0.07071034706454751,5022,4948,508,337,310,1,563,4,1
2020-06-21T00:00:00.000Z,38,250,216,45,59,146,29,0,3083,0.0810898475510866,7744,5057,520,338,310,0,569,9,0
2020-06-22T00:00:00.000Z,23,238,203,44,56,136,29,1,3083,0.07719753486863444,6877,5336,537,339,311,0,571,5,0
2020-06-23T00:00:00.000Z,21,225,198,40,52,129,26,2,3083,0.07298086279597794,6529,5682,561,340,313,0,573,4,1
2020-06-24T00:00:00.000Z,34,230,199,45,45,136,27,3,3083,0.07460265974699967,6553,6047,606,341,316,0,578,6,1
2020-06-25T00:00:00.000Z,26,225,198,44,56,121,28,4,3083,0.07298086279597794,6644,6456,633,343,320,0,583,5,1
2020-06-26T00:00:00.000Z,46,244,222,45,57,139,26,3,3083,0.07914369120986052,5490,6723,673,343,323,0,589,8,1
2020-06-27T00:00:00.000Z,26,248,227,40,56,148,22,3,3083,0.08044112877067791,4985,7044,691,343,326,0,590,1,0
2020-06-28T00:00:00.000Z,47,275,233,39,67,166,22,2,3083,0.08919883230619527,7517,7281,689,346,328,0,594,4,0
2020-06-29T00:00:00.000Z,46,279,244,44,68,165,24,0,3083,0.09049626986701265,6878,7839,713,347,328,0,599,7,0
2020-06-30T00:00:00.000Z,52,297,257,56,68,172,24,1,3083,0.09633473889069089,6548,8449,751,348,329,0,611,16,0
2020-07-01T00:00:00.000Z,82,338,285,59,73,201,24,3,3083,0.1096334738890691,6341,9267,771,351,332,0,618,10,0
2020-07-02T00:00:00.000Z,64,348,309,72,72,201,28,1,3083,0.1128770677911126,6707,10249,793,358,333,0,638,23,0
2020-07-03T00:00:00.000Z,56,362,315,83,75,202,29,3,3083,0.1174180992539734,5633,10976,879,361,336,0,646,13,0
2020-07-04T00:00:00.000Z,61,377,347,85,84,201,33,5,3083,0.1222834901070386,3784,11601,962,367,341,0,655,11,0
2020-07-05T00:00:00.000Z,81,429,376,94,82,251,32,2,3083,0.1391501783976646,7344,12262,952,373,343,0,668,16,0
2020-07-06T00:00:00.000Z,81,457,370,90,96,263,34,8,3083,0.1482322413233863,6638,13123,1022,376,351,0,675,8,2
2020-07-07T00:00:00.000Z,104,477,414,94,94,281,35,5,3083,0.1547194291274733,6401,14102,1202,378,356,1,691,22,2
2020-07-08T00:00:00.000Z,91,501,437,113,88,294,38,5,3083,0.1625040544923776,6453,15021,1357,383,361,1,714,27,2
2020-07-09T00:00:00.000Z,120,557,481,126,99,327,41,5,3083,0.180668180343821,6591,15983,1643,389,366,0,746,34,2
2020-07-10T00:00:00.000Z,87,567,478,130,105,328,41,4,3083,0.1839117742458644,5592,17014,1806,390,370,1,760,14,2
2020-07-11T00:00:00.000Z,91,572,525,135,120,312,46,5,3083,0.1855335711968862,4821,17830,1916,395,375,0,778,19,2
2020-07-12T00:00:00.000Z,124,648,539,150,125,367,47,7,3083,0.2101848848524165,7501,18608,2017,398,382,0,806,34,3
2020-07-13T00:00:00.000Z,120,661,541,183,121,353,53,4,3083,0.214401556925073,6724,19723,2251,408,386,0,849,51,3
2020-07-14T00:00:00.000Z,108,652,577,188,140,314,55,7,3083,0.2114823224132339,6632,20735,2483,412,393,0,881,35,3
2020-07-15T00:00:00.000Z,109,689,567,208,121,352,58,6,3083,0.2234836198507947,6494,22001,2733,418,399,1,918,48,3
2020-07-16T00:00:00.000Z,136,702,579,208,133,351,59,9,3083,0.2277002919234512,6554,23203,2938,426,408,1,946,36,3
2020-07-17T00:00:00.000Z,139,718,621,218,150,337,58,12,3083,0.2328900421667207,5363,24044,3163,429,420,1,972,27,3
2020-07-18T00:00:00.000Z,100,720,680,234,150,328,56,8,3083,0.2335387609471294,4930,24706,3431,429,428,1,1000,32,2
2020-07-19T00:00:00.000Z,156,837,698,270,143,414,73,10,3083,0.2714888096010379,7485,25129,3479,445,438,1,1066,76,2
2020-07-20T00:00:00.000Z,145,840,697,264,148,411,78,12,3083,0.272461887771651,6620,26037,3819,456,450,1,1104,41,2
2020-07-21T00:00:00.000Z,128,819,679,256,142,412,80,9,3083,0.2656503405773597,6556,26965,4263,464,459,1,1139,40,2
2020-07-22T00:00:00.000Z,136,812,710,284,138,383,79,6,3083,0.2633798248459293,6500,25119,4390,472,465,1,1193,62,3
2020-07-23T00:00:00.000Z,127,840,723,309,152,360,83,16,3083,0.272461887771651,6798,20539,4185,481,481,1,1248,65,3
2020-07-24T00:00:00.000Z,104,825,736,327,152,336,86,8,3083,0.2675964969185858,5706,21973,2958,487,489,1,1283,44,3
2020-07-25T00:00:00.000Z,90,827,784,319,178,321,97,7,3083,0.2682452156989945,4947,22145,3252,500,496,1,1304,28,5
2020-07-26T00:00:00.000Z,125,904,781,309,197,387,98,11,3083,0.2932208887447292,7428,20436,3258,511,507,1,1340,44,6
2020-07-27T00:00:00.000Z,140,925,791,314,182,422,93,7,3083,0.3000324359390205,6609,20762,3198,519,514,1,1385,54,8
2020-07-28T00:00:00.000Z,125,914,794,320,185,399,92,8,3083,0.2964644826467726,6372,21229,3289,526,522,1,1431,53,9
2020-07-29T00:00:00.000Z,123,913,788,333,173,389,94,15,3083,0.2961401232565683,6247,21804,3263,535,537,1,1478,59,10
2020-07-30T00:00:00.000Z,94,882,762,316,172,378,99,15,3083,0.2860849821602335,5957,21832,3349,549,552,1,1512,39,10
2020-07-31T00:00:00.000Z,118,879,778,315,172,376,91,14,3083,0.2851119039896205,5784,21865,3347,553,566,1,1540,31,10
2020-08-01T00:00:00.000Z,107,885,816,335,165,371,91,14,3083,0.2870580603308466,4947,21832,3416,562,580,0,1584,53,9
2020-08-02T00:00:00.000Z,140,959,830,347,171,430,97,12,3083,0.3110606552059682,7322,19896,3597,570,592,0,1629,56,12
2020-08-03T00:00:00.000Z,110,950,800,326,147,451,91,15,3083,0.3081414206941291,6639,20150,3360,579,607,1,1669,44,14
2020-08-04T00:00:00.000Z,111,910,784,339,165,386,95,11,3083,0.2951670450859553,6745,20331,3261,583,618,0,1721,62,13
2020-08-05T00:00:00.000Z,141,916,788,352,165,387,102,10,3083,0.2971132014271813,6352,20598,3184,595,628,0,1755,41,13
2020-08-06T00:00:00.000Z,111,908,788,354,152,381,94,9,3083,0.2945183263055465,6439,20365,3333,603,637,2,1794,47,14
2020-08-07T00:00:00.000Z,120,903,820,364,159,364,101,12,3083,0.2928965293545248,5446,20667,3535,612,649,2,1833,47,14
2020-08-08T00:00:00.000Z,99,919,868,386,177,340,99,13,3083,0.2980862795977944,4537,20942,3346,616,662,2,1876,52,14
2020-08-09T00:00:00.000Z,146,1015,853,384,199,421,107,8,3083,0.3292247810574116,7231,19443,3441,629,670,2,1922,51,15
2020-08-10T00:00:00.000Z,104,957,816,390,183,367,107,15,3083,0.3104119364255595,6454,19976,3230,636,685,3,1958,51,16
2020-08-11T00:00:00.000Z,104,927,796,372,190,342,108,11,3083,0.3006811547194291,6784,20847,3206,640,696,1,2002,44,16
2020-08-12T00:00:00.000Z,110,901,766,370,171,338,105,16,3083,0.2922478105741161,6212,21204,3343,646,712,5,2041,47,17
2020-08-13T00:00:00.000Z,144,910,788,370,177,343,106,16,3083,0.2951670450859553,5980,21453,3387,658,728,3,2086,61,18
2020-08-14T00:00:00.000Z,117,906,812,369,179,342,101,12,3083,0.2938696075251379,4975,21857,3350,662,740,4,2123,45,17
2020-08-15T00:00:00.000Z,119,934,879,381,180,359,108,10,3083,0.3029516704508596,4338,21826,3491,671,750,3,2158,47,16
2020-08-16T00:00:00.000Z,136,1011,851,374,195,421,105,20,3083,0.3279273434965943,6799,20736,3435,681,770,6,2204,52,16
2020-08-17T00:00:00.000Z,106,962,833,392,183,373,107,4,3083,0.3120337333765813,5669,21464,3179,687,774,112,2252,62,17
2020-08-18T00:00:00.000Z,142,976,830,398,185,371,111,14,3083,0.3165747648394421,5812,22048,3115,696,788,121,2307,64,16
2020-08-19T00:00:00.000Z,112,949,838,380,178,364,110,12,3083,0.3078170613039247,5561,22203,3100,700,800,116,2339,43,17
2020-08-20T00:00:00.000Z,115,945,811,392,177,354,109,14,3083,0.3065196237431074,5837,22389,2979,709,814,117,2389,61,16
2020-08-21T00:00:00.000Z,129,945,859,397,170,352,109,13,3083,0.3065196237431074,4859,22824,2935,718,827,115,2423,49,17
2020-08-22T00:00:00.000Z,98,950,908,401,179,354,113,10,3083,0.3081414206941291,4228,22909,2835,727,837,120,2451,39,17
2020-08-23T00:00:00.000Z,132,1040,916,403,210,405,112,13,3083,0.3373337658125203,6501,21803,2762,738,850,119,2510,62,17
2020-08-24T00:00:00.000Z,129,1045,903,422,202,402,116,16,3083,0.338955562763542,5683,22687,2372,751,866,124,2571,71,17
2020-08-25T00:00:00.000Z,117,1021,875,425,179,387,115,19,3083,0.3311709373986377,5789,24026,2202,758,885,123,2617,59,17
2020-08-26T00:00:00.000Z,165,1036,894,414,189,417,115,11,3083,0.3360363282517029,5676,22291,2248,767,896,122,2661,53,16
2020-08-27T00:00:00.000Z,137,1033,884,420,191,405,114,11,3083,0.3350632500810898,5724,22946,2184,773,907,123,2713,64,15
2020-08-28T00:00:00.000Z,106,997,891,416,202,354,110,13,3083,0.3233863120337334,4944,22895,2216,778,920,120,2755,56,15
2020-08-29T00:00:00.000Z,99,982,934,434,195,340,115,5,3083,0.3185209211806682,4437,22994,2267,784,925,126,2789,45,16
2020-08-30T00:00:00.000Z,170,1103,950,451,211,417,124,14,3083,0.3577684073953941,6685,21824,2241,793,939,133,2843,67,14
2020-08-31T00:00:00.000Z,156,1116,935,431,207,444,118,23,3083,0.3619850794680506,6011,22743,2012,800,962,128,2893,65,14
2020-09-01T00:00:00.000Z,126,1055,905,412,198,411,115,15,3083,0.3421991566655855,6663,24066,1948,809,977,125,2929,50,13
2020-09-02T00:00:00.000Z,126,1030,897,417,170,412,119,13,3083,0.3340901719104768,6178,25803,1999,823,990,125,2980,67,13
2020-09-03T00:00:00.000Z,143,1043,887,407,160,428,114,16,3083,0.3383068439831333,6132,26653,2006,829,1006,118,3013,43,13
2020-09-04T00:00:00.000Z,130,1018,914,422,147,418,118,12,3083,0.3301978592280246,5023,27980,2070,836,1018,123,3068,64,13
2020-09-05T00:00:00.000Z,122,1036,979,442,148,409,124,15,3083,0.3360363282517029,4582,28331,2257,850,1033,133,3119,66,14
2020-09-06T00:00:00.000Z,178,1151,980,459,185,477,130,12,3083,0.3733376581252027,6866,28166,2180,859,1045,137,3178,80,14
2020-09-07T00:00:00.000Z,167,1150,1005,461,183,466,131,17,3083,0.3730132987349984,6184,30058,2035,869,1062,138,3230,64,13
2020-09-08T00:00:00.000Z,168,1169,1002,461,187,489,139,20,3083,0.3791761271488809,6067,32048,2084,878,1082,145,3283,64,14
2020-09-09T00:00:00.000Z,178,1184,1035,489,189,469,137,15,3083,0.3840415180019461,6022,34387,2224,887,1097,151,3364,92,17
2020-09-10T00:00:00.000Z,177,1211,1067,495,196,487,137,14,3083,0.3927992215374635,5985,36401,2345,896,1111,153,3423,75,19
2020-09-11T00:00:00.000Z,152,1215,1062,493,203,484,129,20,3083,0.3940966590982809,5159,38443,2484,902,1131,142,3475,59,17
2020-09-12T00:00:00.000Z,148,1216,1129,514,206,464,130,15,3083,0.3944210184884853,4702,39562,2733,911,1146,139,3537,78,18
2020-09-13T00:00:00.000Z,208,1341,1157,518,234,551,132,17,3083,0.4349659422640286,6992,39396,2751,920,1163,152,3606,80,17
2020-09-14T00:00:00.000Z,214,1375,1172,527,235,573,131,20,3083,0.4459941615309763,6126,41911,2602,931,1183,146,3673,80,17
2020-09-15T00:00:00.000Z,198,1380,1206,525,232,572,130,16,3083,0.447615958481998,6117,44961,2758,941,1199,144,3741,83,18
2020-09-16T00:00:00.000Z,209,1413,1221,531,270,560,134,26,3083,0.4583198183587415,6190,46479,2973,952,1225,143,3821,99,16
2020-09-17T00:00:00.000Z,220,1440,1229,575,247,573,139,17,3083,0.4670775218942588,6129,47958,3130,969,1242,166,3919,121,16
2020-09-18T00:00:00.000Z,199,1447,1290,591,255,542,142,21,3083,0.4693480376256893,5016,50377,3113,983,1263,156,3993,103,16
2020-09-19T00:00:00.000Z,159,1424,1298,613,250,524,147,28,3083,0.4618877716509893,4477,52480,3340,998,1291,164,4069,84,16
2020-09-20T00:00:00.000Z,220,1525,1397,632,242,614,156,21,3083,0.4946480700616283,5141,52411,3384,1010,1312,169,4147,95,16
2020-09-21T00:00:00.000Z,224,1616,1346,654,276,642,160,32,3083,0.5241647745702238,6579,51719,3302,1027,1344,176,4252,124,15
2020-09-22T00:00:00.000Z,245,1611,1389,636,293,620,158,25,3083,0.5225429776192021,5853,55162,3300,1044,1369,183,4337,99,12
2020-09-23T00:00:00.000Z,244,1629,1418,669,267,633,151,25,3083,0.5283814466428803,5659,58310,3419,1051,1394,169,4434,127,12
